站点编码	站点名称
0101	朝天门
0102	小什字
0103	较场口
0104	七星岗
0105	两路口
0106	鹅岭
0107	大坪
0108	石油路
0109	歇台子
0110	石桥铺
0111	高庙村
0112	马家岩
0113	小龙坎
0114	沙坪坝
0115	杨公桥
0116	烈士墓
0117	磁器口
0118	石井坡
0119	双碑
0120	赖家桥
0121	徽电园
0122	陈家桥
0123	大学城
0124	尖顶坡
0201	较场口
0202	临江门
0203	黄花园
0204	大溪沟
0205	曾家岩
0206	上清寺
0207	李子坝
0208	浮图关
0209	大坪
0210	袁家岗
0211	谢家湾
0212	杨家坪
0213	动物园
0214	大堰
0215	马王场
0216	平安
0217	大渡口
0218	新山村
0219	天堂堡
0220	建桥
0221	金家湾
0222	刘家坝
0223	白居寺
0224	大江
0225	鱼洞
0301	鱼洞
0302	金竹
0303	鱼湖路
0304	学堂湾
0305	大山村
0306	炒油场
0307	岔路口
0308	九公里
0309	麒龙
0310	八公里
0311	二塘
0312	六公里
0313	五公里
0314	四公里
0315	南坪
0316	工贸
0317	铜元局
0318	两路口
0319	牛角沱
0320	华新街
0321	观音桥
0322	红旗河沟
0323	嘉州花园
0324	郑家院子
0325	唐家院子
0326	狮子坪
0327	火车北站
0328	龙头寺
0329	童家院子
0330	金童
0331	金渝
0332	鸳鸯
0333	园博园
0334	翠云
0335	长福路
0336	回兴
0337	双龙
0338	碧津
0339	江北机场
0340	双凤桥站
0341	空港广场站
0342	高堡湖站
0343	观月路站
0344	莲花站
0345	举人坝站
0601	茶园
0602	邱家湾
0603	长生桥
0604	刘家坪
0605	上新街
0606	小什字
0607	大剧院
0608	江北城
0609	五里店
0610	红土地
0611	黄泥塝
0612	红旗河沟
0613	花卉园
0614	大龙山
0615	冉家坝
0616	光电园
0617	大竹林
0618	康庄站
0619	九曲河
0620	礼嘉
0621	金山寺
0622	曹家湾
0623	蔡家
0624	向家岗
0625	龙凤溪
0626	状元碑
0627	天生
0628	五路口
5601	礼嘉
5602	平场
5603	黄茅坪
5604	高义口
5605	国博中心
5606	悦来
